Youtuber分類,頻道(官方帳號),訂閱數,代名詞,粉絲團,道歉事件,,12/16是否存在
,"孫安佐
https://www.youtube.com/channel/UCuGB6NVDHOtofk6JheaZIEQ",21.2萬,孫安佐、Edward、Sun、孫華,https://www.instagram.com/sun_edward_64/,✓,,1
美妝穿搭類,"heyitsmindy
https://www.youtube.com/c/heyitsmindyy/videos",18.3萬,"heyitsmindy
Mindy",https://www.instagram.com/heyitsmindyy/,✓,,1
,"VITO維特
https://www.youtube.com/channel/UCuxSVvnpjk9WLpss8iORmoA",16.6萬,維特、VITO維特,https://www.facebook.com/VITO0413,✓,,1
生活搞笑類,"綠眼鏡Punk
https://www.youtube.com/channel/UCle24f5bmyPtAiOylAI30-A",12.1萬,綠眼鏡Punk、綠眼鏡、徐晢軒,https://www.facebook.com/greenglassespunk,✓,,1
,"NanaQ
https://www.youtube.com/channel/UCQhuILEAErjrabn6-rJiKig",11.8萬,NanaQ,https://www.facebook.com/nanaq521/,✓,,1
,"統神大戲院
https://www.youtube.com/c/%E7%B5%B1%E7%A5%9E%E5%A4%A7%E6%88%B2%E9%99%A2",10.6萬,統神、張嘉航,https://www.facebook.com/godtone3be0,✓,,1
,,,,,,,
,"見習網美小吳
",105萬,見習網美小吳,"https://www.facebook.com/beautywu123/?ref=aymt_homepage_panel
https://www.instagram.com/beauty___wu/?hl=zh-tw",✓,,
,"波特王 Potter King
https://www.youtube.com/c/%E6%B3%A2%E7%89%B9%E7%8E%8BPotterKing",87.7萬,波特王 Potter King,https://www.facebook.com/PKpotterking/,✓,,
,"丁特dinter
https://www.youtube.com/c/Dinterlolz",75.7萬,丁特dinter、薛弘偉,"https://www.facebook.com/DinTerlol/
https://www.instagram.com/dinter_1126/",✓,,
,"許藍方博士 Dr. Gracie
https://www.youtube.com/channel/UCsc1dZtJfAsWegx-Ri7BElw",28.7萬,許藍方博士 Dr. Gracie,"https://www.facebook.com/drgracieofficial
https://www.instagram.com/drgraciehsu/",✓,,
電玩實況類,"Dinter
https://www.youtube.com/c/Dinterlolz",75.7萬,Dinter、丁特,"https://www.facebook.com/DinTerlol/
https://www.instagram.com/dinter_1126/",✓,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,"眼球中央電視台
https://www.youtube.com/c/%E7%9C%BC%E7%90%83%E4%B8%AD%E5%A4%AE%E9%9B%BB%E8%A6%96%E5%8F%B0EYECTV",108萬,眼球中央電視台、視網膜,"https://www.facebook.com/EYECTV/timeline
https://www.instagram.com/eyectelevision/",反串事件(切割瑋),,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
其他,"Gary蓋瑞
https://www.youtube.com/channel/UCJ0zRk1F6a090G0Aaiby4Rg",44.5萬,Gary蓋瑞、蓋瑞薯淑,https://www.youtube.com/channel/UCJ0zRk1F6a090G0Aaiby4Rg,,,*電玩類
,,,,,,,醫學 電影 籃球 營養
