期間,正面情緒,負面情緒,正面情緒(前一天),正面情緒(前二天),正面情緒(後一天),正面情緒(後二天),負面情緒(前一天),負面情緒(前二天),負面情緒(後一天),負面情緒(後二天),當天正負情緒比,前一天正負情緒比,前二天正負情緒比,後一天正負情緒比,後二天正負情緒比,當天情緒比變化量,隔天情緒比變化量,前一後一情緒變化量,前二後二情緒變化量,聲量,Youtuber,前一天聲量,前二天聲量,後一天聲量,後二天聲量,當天聲量變化量,隔天聲量變化量,前一後一聲量變化量,前二後二聲量變化量,Dcard,Dcard內文,PTT,PTT內文,apple_news,apple_news內文,ettoday,ettoday內文,Mobile01,Mobile01內文,opview,g/b,sub,category,sorry
2021/07/15,250,386,474.0,44.0,322.0,161.0,1054.0,50.0,711.0,451.0,0.6476683937823834,0.4497153700189753,0.88,0.4528832630098452,0.3569844789356984,0.197953023763408,-0.1947851307725381,0.0031678929908699,-0.5230155210643015,1595,Toyz,3140.0,245.0,2123.0,1291.0,-1545.0,528.0,-1017.0,1046.0,[],[],[],[],[],[],['翟本喬嗆前世界冠軍「中共同路人」專破壞餐廳心血\u3000三天後致歉了'],[nan],[],[],Toyz,bad,68.9,電玩實況類,True
2021/10/01,575,2696,49.0,125.0,392.0,573.0,125.0,302.0,2452.0,2993.0,0.2132789317507418,0.392,0.4139072847682119,0.1598694942903752,0.1914467089876378,-0.1787210682492581,-0.0534094374603666,-0.2321305057096248,-0.2224605757805741,6116,呱吉,341.0,870.0,5124.0,7369.0,5775.0,-992.0,4783.0,6499.0,[],[],[],[],['呱吉開酸龍龍「這種人好恐怖」\u3000她捍嗆：沒證據編故事令人反胃'],['脫口秀演員龍龍，控訴參與薩泰爾娛樂舉辦的《炎上》時，遭到脫口秀演員老K霸凌，「他利用演出時不斷嘲笑我跟前男友賀瓏的關係，還在直播上罵我，說我被賀瓏X過，所以整個個性變扭曲」，引發熱議。台北市議員「呱吉」邱威傑在直播中談論此事，認為龍龍有理，但又暗指龍龍不好相處等，龍龍今天回嗆呱吉：「不曉得上質詢台對公眾發言的時候，是不是也可以沒有證據隨意編故事」、「為什麼大家可以一直造謠還覺得沒問題呢？」\n呱吉在直播中表示，龍龍有她控訴、發飆的道理，但他自己絕對不會這麼做，又指會人會批評龍龍過去也常常嘴別人，講了很多前男友的段子，也是在針對某個對象酸言酸語，可以講別人卻不許別人說她和賀瓏的事情，做為喜劇演員的度量不太夠，「這個批評是有它的道理在背後的」。\n呱吉表示，像龍龍這種人，「我每次都告訴自己，這輩子不要再跟這種人有深入交往，好恐怖，真的有夠麻煩」。他表示過去為了舉行《吐槽大會呱吉無法擋》，曾經設了一個群組，結果龍龍因為留言沒人回應就爆氣退群，之後也沒參與演出；又指出後來龍龍當天去看表演，大家好意邀她上台，但他只是做出摟肩的動作就被龍龍瞪了，「這個人我有點不太知道怎麼跟她相處」。\n「真心建議邱大議員呱吉：不知道的事情不要隨便拿出來說嘴，講錯了被打臉可能會很腫。」龍龍今天下午在臉書回擊表示，自己早就說過當時沒參與《吐槽大會呱吉無法擋》是因為檔期問題，而隨便被一個男人碰到，回頭反應也很正常，「不曉得是眼睛比較大被認成瞪，還是玻璃心作祟。」\n龍龍表示，聽完呱吉的直播內容就知道有多令人反胃，「先承認我並沒有錯，有理由生氣，再把我貼上難相處、人緣差，喜劇演員不該如何如何的標籤，標準的帶風向，政治人物真擅長這樣操作」、「我從正式登台演出到現在7年，單口喜劇的稿子都是自己寫的，實在不需要一位不會寫稿，需要寫手寫稿，演不好就怪寫手寫不好的外行人來教我怎麼當喜劇演員～」。（即時新聞中心／綜合報導）'],[],[],[],[],呱吉,bad,60.4,生活搞笑類,True
2021/04/28,81,98,224.0,524.0,125.0,57.0,122.0,278.0,225.0,59.0,0.826530612244898,1.836065573770492,1.8848920863309355,0.5555555555555556,0.9661016949152542,-1.0095349615255935,-0.2709750566893424,-1.2805100182149365,-0.9187903914156812,473,Joeman,806.0,1925.0,841.0,311.0,-333.0,368.0,35.0,-1614.0,[],[],[],[],[],[],[],[],[],[],Joeman,good,219.0,生活搞笑類,True
2020/07/18,1767,5773,46.0,118.0,737.0,262.0,221.0,362.0,4321.0,968.0,0.3060800277152261,0.2081447963800905,0.3259668508287293,0.1705623698218005,0.2706611570247934,0.0979352313351355,-0.1355176578934255,-0.03758242655829,-0.0553056938039359,15284,"Stand up, Brian! 博恩站起來！",611.0,955.0,9400.0,2541.0,14673.0,-5884.0,8789.0,1586.0,[],[],[],[],['【收費爭議1】博恩道歉了！親自解答「韓國瑜為何比蔡英文貴18萬」'],['向總統候選人收費爭議不斷！《博恩夜夜秀》博恩親自出來說清楚了！\n相關新聞：【獨家】柯P與博恩同台「代價」曝光\u3000北市教育局付89萬元給台灣吧公司\n博恩夜夜秀\n蔡英文\n韓國瑜'],[],[],[],[],博恩,bad,50.5,生活搞笑類,True
2021/10/12,736,1924,225.0,324.0,517.0,255.0,691.0,1476.0,1944.0,662.0,0.3825363825363825,0.3256150506512301,0.2195121951219512,0.2659465020576131,0.3851963746223565,0.0569213318851524,-0.1165898804787693,-0.0596685485936169,0.1656841795004053,5844,龍龍LungLung,1846.0,3682.0,5350.0,1807.0,3998.0,-494.0,3504.0,-1875.0,['看完老男孩今天的直播'],[nan],[],[],[],[],[],[],[],[],龍龍,good,35.8,生活搞笑類,True
2020/02/23,46,22,6.0,36.0,41.0,9.0,8.0,10.0,16.0,3.0,2.090909090909091,0.75,3.6,2.5625,3.0,1.3409090909090908,0.4715909090909091,1.8125,-0.6000000000000001,124,丹妮婊姐星球,35.0,112.0,90.0,18.0,89.0,-34.0,55.0,-94.0,[],[],[],[],[],[],[],[],[],[],丹妮婊姐,good,35.5,美妝穿搭類,True
2021/07/06,95,149,189.0,72.0,53.0,32.0,218.0,20.0,43.0,23.0,0.6375838926174496,0.8669724770642202,3.6,1.2325581395348837,1.391304347826087,-0.2293885844467705,0.5949742469174341,0.3655856624706635,-2.208695652173913,579,丹妮婊姐星球,846.0,237.0,222.0,113.0,-267.0,-357.0,-624.0,-124.0,['#討論 推薦美妝 Youtuber ❤️❤️'],[nan],[],[],[],[],[],[],[],[],丹妮婊姐,good,35.5,美妝穿搭類,True
2021/12/08,1,12,4.0,15.0,1.0,1.0,0.0,2.0,16.0,2.0,0.0833333333333333,,7.5,0.0625,0.5,,-0.0208333333333333,,-7.0,18,heyitsmindy,5.0,23.0,18.0,5.0,13.0,0.0,13.0,-18.0,['激省！😍分享黑五英美必買（在臺灣也不怕）'],"['半夜睡不著來跟大家分享一下黑五值得蹲的品牌/商品讓明年的各位儲存積蓄進入備戰狀態🤣\n但因為逼近年末的關係物流真～～的是慢到哭喔\n會順帶更新寄送速度讓大家可以參考！\n1⃣️美妝類\nMac\nhttps://i.imgur.com/gt8MTBP.jpg\nMac家黑五真的是打到心坎裡\n原價本來就俗了還打到6折5折平均一隻唇膏3.400真的是不買對不起我自己🥺\n但我已經有超多Mac的唇膏這次意思意思的買了我本來就很喜歡的no interruption（舊的過期了）跟被mindy燒到的mull it over😍\n🔥總結：Mac家是全館都有在打折的 黑五那陣子基本就是全館7折 然後*常常*粉底5折 口紅5折 眼影5折啦兩三天換著折扣或混搭 \n還有蠻多滿額禮的 送的都是熱門產品\n11/26下訂\n12/3出貨\n12/6集運商收到\n\nBenefit \nhttps://i.imgur.com/Ehs1Nu8.jpg\n耳聞就細我的眉筆大名非常久了！看到一隻只要不到300台幣立馬下單！當開架來過過乾隱XDD\n（不過是迷你版的喔 少了眉刷）\n🔥總結：benefit家全館7折 還有很多小包裝set之類的 送禮自用兩相宜！\n11/28下訂\n12/03出貨\n集運商還未收到\n\n2⃣️服飾\nCalvin Klein \nhttps://i.imgur.com/aVCeBvW.jpg\n一件ck內衣4.500我真的也是不買我心不甘🤣\n🔥總結：幾乎熱門款式都有打折+額外全館8折\n但官網要連vpn才可以逛～\n11/27下訂\n12/1出貨\n12/6集運商收到\n\nAmazon\nhttps://i.imgur.com/Bfug41q.jpg\n後來cyber Monday逛Amazon的時候發現也有ck的旗艦店 打折力度也不輸官網就又下了一次單\U0001f972（cyber Monday折扣比較大喔！黑五那陣子還好）\n🔥總結：美亞其實是有直寄臺灣的 但我湊不到國際免運而且我半年6次的進口額度沒了XDD \n美亞官網本身沒什麼折扣可以到各品牌旗艦店看一下puma nb…等都有在折扣\n11/29下訂\n12/1出貨\n12/3集運商收到\n\n3⃣️家電\nWalmart google chrome cast with google tv\nhttps://i.imgur.com/wTO2jtI.jpg\n我們家的電視沒辦法看Netflix哭啊 蝦皮上代購都要2000左右 我自己買加國際運費不到1200😍\n美國原價是49美金\n🔥總結：Walmart看心得文好像有人會被擋刷 但我自己用PayPal（每個人都可以免費辦別怕）沒被擋～\n11/24下訂\n11/25出貨\n12/1集運商收到\n\n4⃣️直寄臺灣電商\nLook fantastic \nhttps://i.imgur.com/dfprlH0.jpg\nhttps://i.imgur.com/HnKGncB.jpg\n這家我買了兩單分別是aveda洗髮精 我想買超久了！趁這次把有興趣的味道買回來！（一罐250ml都3.400而已 梳子還比較貴要500左右\U0001f972\n還有Laura mecier 蜜粉跟蘭蔻小黑瓶 蜜粉大加小加粉撲只要1000左右！20ml的小黑瓶只要不到800 看到很多網站都大罐在折扣 但我真的超懶的保養之前買50ml的就用超久\n雖然這家運送負評超多但我也沒有急著收到 抱持著佛細等待的心情（我只求不要破掉🙂）\n🔥總結：不怕等也不怕冒著破掉風險的人可以試試😅因為真～的很划算 非常飲恨沒有買到卡詩（LF家平常卡詩是不寄臺灣的 黑五期間會有開放 但今年開放時間超短\U0001f972）很多品牌都值得逛（Lancôme/GA/NARS……）\nAveda那一單12/2就寄出了\n另一單12/8寄出\n\nSelfridges \nhttps://i.imgur.com/2coCZE0.jpg\n都有會員了黑五怎麼可以不買一波！我就選了兩隻我心心念念很久的口紅😍我只能說…我就是顏控 看包裝買口紅\n🔥總結：這家每年都是固定的8-9折但因為商品原價本身就是臺灣定價的5-7折了 所以有買會員的話真的是日常補貨的好去處XDD（很多人買Aesop/kiehl’s/Lancôme……)\n很衰的我是dpex寄送\U0001f97212/5寄出 不知要等多久\n\nAsos\nhttps://i.imgur.com/ZFkf3JU.jpg\n（上面商品金額再額外8折）\n被Charlotte tilbury的四色盤燒得不要不要的 但官網折扣跟selfridges 都沒有我想要的色號 剛好在逛asos看到直接大吃一驚！立馬連著之前加入清單的東西一起結帳！\n🔥總結：這家常常有全館7-8折優惠 而且都是折扣後再打折 極推薦買adidas折上再折！ 還有很多流行服飾（當作在逛網拍就對了）也有一些潮牌obey champion kangol……\n（這家物流速度超慢喔 我之前買過幾次了 兩個月前買的等了一個月左右🙂）\n官方app跟我說我要1月才收的到\U0001f972\n\n以上是我自己要買的戰利品都不擋國外卡喔～\n還有其他商家但因為是幫親戚買的就沒有放上來\nCarter’s,H&M折扣力度都很不錯完全都是無腦買\n\n因為黑五的關係美國國內運送真的超慢\U0001f972一直到今天我所有訂購的商品才寄出 希望在年底前可以順利收完戰利品～\n之後再補充開箱！']",[],[],[],[],[],[],[],[],heyitsmindy,bad,18.3,美妝穿搭類,True
2020/06/09,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,綠眼鏡Punk,3.0,0.0,0.0,1.0,-3.0,0.0,-3.0,1.0,[],[],[],[],[],[],[],[],[],[],綠眼鏡Punk,bad,12.1,生活搞笑類,True
2021/07/29,36,158,25.0,82.0,43.0,52.0,54.0,140.0,175.0,407.0,0.2278481012658227,0.4629629629629629,0.5857142857142857,0.2457142857142857,0.1277641277641277,-0.2351148616971402,0.0178661844484629,-0.2172486772486772,-0.457950157950158,406,NanaQ,141.0,389.0,465.0,790.0,265.0,59.0,324.0,401.0,[],[],[],[],[],[],['NanaQ發道歉文！\u3000每天「收不完關心與擔心」：對不起愛我的人'],[nan],[],[],NanaQ,bad,11.8,生活搞笑類,True
2021/12/02,317,407,227.0,126.0,242.0,244.0,316.0,206.0,403.0,306.0,0.7788697788697788,0.7183544303797469,0.6116504854368932,0.6004962779156328,0.7973856209150327,0.0605153484900319,-0.178373500954146,-0.1178581524641141,0.1857351354781395,1670,統神大戲院,1258.0,850.0,1478.0,1499.0,412.0,-192.0,220.0,649.0,['統神受邀擔任反毒大使'],[nan],[],[],[],[],[],[],[],[],統神,bad,10.6,電玩實況類,True
2021/07/22,4135,16242,1837.0,1075.0,2754.0,1382.0,10311.0,6633.0,14920.0,6712.0,0.2545868735377417,0.1781592474056832,0.1620684456505352,0.1845844504021447,0.2058998808104886,0.0764276261320584,-0.0700024231355969,0.0064252029964615,0.0438314351599534,40944,統神大戲院,21598.0,14099.0,32174.0,15691.0,19346.0,-8770.0,10576.0,1592.0,['Toyz vs 統神  統神真正犯下的大錯'],[nan],[],[],[],[],[],[],[],[],統神,bad,10.6,電玩實況類,True
2020/06/23,141,255,86.0,37.0,77.0,37.0,258.0,67.0,113.0,110.0,0.5529411764705883,0.3333333333333333,0.5522388059701493,0.6814159292035398,0.3363636363636363,0.2196078431372549,0.1284747527329515,0.3480825958702064,-0.2158751696065129,910,鼻地大師國動-張葦航,646.0,292.0,542.0,351.0,264.0,-368.0,-104.0,59.0,[],[],[],[],[],[],[],[],[],[],國動,bad,22.4,電玩實況類,True
2021/07/04,35,23,48.0,88.0,50.0,33.0,22.0,30.0,124.0,157.0,1.5217391304347827,2.1818181818181817,2.933333333333333,0.4032258064516129,0.2101910828025477,-0.660079051383399,-1.1185133239831695,-1.778592375366569,-2.723142250530785,145,木曜4超玩,157.0,246.0,322.0,340.0,-12.0,177.0,165.0,94.0,[],[],[],[],[],[],[],[],[],[],木曜4超玩,good,218.0,生活搞笑類,True
2021/10/09,1065,1872,186.0,328.0,458.0,120.0,347.0,626.0,1185.0,350.0,0.5689102564102564,0.5360230547550432,0.5239616613418531,0.3864978902953586,0.3428571428571428,0.0328872016552131,-0.1824123661148977,-0.1495251644596845,-0.1811045184847102,6825,Dinter,1236.0,2100.0,4046.0,987.0,5589.0,-2779.0,2810.0,-1113.0,[],[],[],[],['LOL台灣選手涉賭\u3000館長贊助從感動到失望！「不要欺騙我的感情」'],['《英雄聯盟》（LOL）世界賽5日開打，代表我國出賽的BYG在入圍賽以讓二追三之勢勝利，中路選手茂安卻爆出涉嫌賭博。BYG老闆、實況主丁特在臉書證實了，他表示此事件仍在調查中，不會包庇涉案選手。館長陳之漢身為贊助商，今天也在直播中難掩失望，感嘆「不要欺騙我的感情」。\n館長陳之漢今天在直播中說，昨天的比賽相當刺激，能夠逆轉勝，身為贊助商，他非常開心，但開心不到幾個小時，清晨就看到涉賭的新聞，睡一覺世界竟然變了，他坦言對電競圈不熟，困惑「這東西可以賭？」\n館長說，昨天看到這麼精采的比賽，還想說要聯絡老闆丁特，他想要加碼讓丁特帶選手去吃好料，沒想到卻發生這種事情，「我真的好難過喔！欺騙我的感情」，也希望檢調能介入調查。\n館長也提到丁特對選手們的付出，丁特要拉贊助、給選手薪水，真的很辛苦，館長坦言，「我也很生氣，但最難過的是阿特」，心疼丁特的努力付出全部毀了，館長晚間也在臉書發文「阿特加油，你辛苦了」力挺，也承諾會繼續贊助。（即時新聞中心／綜合報導）\n丁特\n茂安\n英雄聯盟\n館長\n陳之漢\n電競'],[],[],[],[],Dinter,bad,75.7,電玩實況類,True
2020/06/04,53,247,27.0,1.0,33.0,3.0,173.0,12.0,172.0,10.0,0.2145748987854251,0.1560693641618497,0.0833333333333333,0.191860465116279,0.3,0.0585055346235753,-0.022714433669146,0.0357911009544293,0.2166666666666666,559,Jinnytty 企鵝妹 윰찌,367.0,25.0,402.0,19.0,192.0,-157.0,35.0,-6.0,[],[],[],[],[],[],['企鵝妹罵韓大嬸「BITCX」硬凹：是美式作風\u3000韓網傻眼：妳住在韓國23年耶！'],[nan],[],[],企鵝妹,bad,29.4,電玩實況類,True
2021/06/01,141,516,62.0,115.0,101.0,47.0,621.0,1594.0,525.0,195.0,0.2732558139534883,0.0998389694041868,0.0721455457967377,0.1923809523809523,0.241025641025641,0.1734168445493015,-0.0808748615725359,0.0925419829767655,0.1688800952289032,1166,大麻煩,1113.0,2568.0,1124.0,457.0,53.0,-42.0,11.0,-2111.0,['丟水球的大麻煩砲轟瑩真律師'],[nan],[],[],[],[],[],[],[],[],大麻煩,bad,41.5,生活搞笑類,True
2020/12/24,46,5,12.0,26.0,34.0,16.0,3.0,10.0,5.0,12.0,9.2,4.0,2.6,6.8,1.3333333333333333,5.199999999999999,-2.3999999999999995,2.8,-1.2666666666666668,80,見習網美小吳,39.0,94.0,62.0,81.0,41.0,-18.0,23.0,-13.0,['#討論 雪莉炸彈骰爆派對組 哪裡買'],[nan],[],[],[],[],[],[],[],[],見習網美小吳,good,105.0,生活搞笑類,True
2021/09/13,8,35,6.0,35.0,8.0,2.0,7.0,9.0,20.0,5.0,0.2285714285714285,0.8571428571428571,3.888888888888889,0.4,0.4,-0.6285714285714286,0.1714285714285714,-0.4571428571428571,-3.488888888888889,64,見習網美小吳,36.0,114.0,67.0,15.0,28.0,3.0,31.0,-99.0,[],[],[],[],['百萬網紅小吳惡整！揪人集體退追好友IG\u3000網怒霸凌「很容易有陰影」'],[nan],[],[],[],[],見習網美小吳,good,105.0,生活搞笑類,True
2021/08/20,880,1510,85.0,47.0,829.0,141.0,315.0,89.0,2767.0,440.0,0.5827814569536424,0.2698412698412698,0.5280898876404494,0.2996024575352367,0.3204545454545454,0.3129401871123725,-0.2831789994184056,0.0297611876939669,-0.2076353421859039,5542,許藍方博士 Dr. Gracie,820.0,336.0,7780.0,1357.0,4722.0,2238.0,6960.0,1021.0,[],[],[],[],[],[],['許藍方直播哭著道歉！\u3000粉絲心疼「狂刷整排加油」一面倒：相信妳'],[nan],[],[],許藍方,good,28.7,生活搞笑類,True
2020/06/09,218,347,41.0,104.0,77.0,35.0,93.0,199.0,83.0,50.0,0.6282420749279539,0.4408602150537634,0.5226130653266332,0.927710843373494,0.7,0.1873818598741904,0.29946876844554,0.4868506283197305,0.1773869346733667,1263,谷阿莫,401.0,942.0,437.0,238.0,862.0,-826.0,36.0,-704.0,[],[],[],[],['【獨家】谷阿莫脫身！遭5大片商告侵權\u3000賠百萬發聲明換撤告'],[nan],[],[],[],[],谷阿莫,bad,198.0,生活搞笑類,True
2020/03/03,214,329,88.0,60.0,111.0,19.0,30.0,10.0,397.0,97.0,0.6504559270516718,2.933333333333333,6.0,0.2795969773299748,0.1958762886597938,-2.282877406281661,-0.370858949721697,-2.653736356003358,-5.804123711340206,1274,木曜4超玩,344.0,196.0,1042.0,233.0,930.0,-232.0,698.0,37.0,[],[],[],[],['《木曜4超玩》赴重災區日本出外景\u3000返台還上走鐘獎「沒戴口罩」挨轟'],[nan],[],[],[],[],木曜4超玩,good,218.0,生活搞笑類,True
2020/06/03,5908,4978,117.0,190.0,8500.0,2241.0,47.0,48.0,16823.0,4718.0,1.1868220168742467,2.48936170212766,3.9583333333333335,0.5052606550555787,0.4749894022891056,-1.302539685253413,-0.681561361818668,-1.984101047072081,-3.483343931044228,19397,黃氏兄弟,406.0,519.0,46503.0,13273.0,18991.0,27106.0,46097.0,12754.0,['瑋瑋的事件重點其實不在同志身份'],[nan],[],[],[],[],[],[],[],[],黃氏兄弟,good,185.0,生活搞笑類,True
2020/06/09,292,131,410.0,35.0,93.0,100.0,154.0,38.0,51.0,47.0,2.2290076335877864,2.6623376623376624,0.9210526315789472,1.8235294117647056,2.127659574468085,-0.433330028749876,-0.4054782218230806,-0.8388082505729566,1.2066069428891375,807,WACKYBOYS 反骨男孩,1036.0,167.0,322.0,365.0,-229.0,-485.0,-714.0,198.0,['賽車遊戲中的最帥車種  #極速領域'],[nan],[],[],[],[],[],[],[],[],反骨男孩,good,156.0,生活搞笑類,True
2021/11/14,273,26,19.0,16.0,82.0,50.0,11.0,7.0,171.0,102.0,10.5,1.7272727272727273,2.2857142857142856,0.47953216374269,0.4901960784313725,8.772727272727273,-10.02046783625731,-1.2477405635300372,-1.795518207282913,436,滴妹,71.0,50.0,505.0,276.0,365.0,69.0,434.0,226.0,['更 滴妹回覆 滴妹 侵權羊毛氈'],[nan],[],[],[],[],[],[],[],[],滴妹,good,142.0,生活搞笑類,True
