Youtuber分類,頻道(官方帳號),訂閱數,代名詞,粉絲團,道歉事件,,,
插畫圖文類,"CFABC 鵝肉麵
https://www.youtube.com/channel/UCAsJVaqMX97EU8SOhtaKXgw",18萬,CFABC 鵝肉麵、鹽酥的鵝肉麵,https://www.facebook.com/crispyfriedabc,,,,
插畫圖文類,"蓋彼 Gabi SDK
https://www.youtube.com/channel/UClC6OJcVbAx15T7Ra7y4LVA",13.7萬,蓋彼 Gabi SDK、蓋彼、Gabi,https://www.facebook.com/GabiSDK/,,,,
插畫圖文類,"玩什麼鬼啦
https://www.youtube.com/channel/UCxtFvGCBvUCAknLLQv7Svcw/featured",13.7萬,玩什麼鬼啦,https://www.facebook.com/playwhatthe,,,,
生活搞笑類,"這群人TGOP
https://www.youtube.com/channel/UC6FcYHEm7SO1jpu5TKjNXEA",344萬,這群人、群人、This Group Of People、TGOP,https://www.facebook.com/thisgroupofpeople,,,,
生活搞笑類,"葉式特工 Yes Ranger
https://www.youtube.com/channel/UCXpxKdZAiyUEaTkoCPpEZzg",336萬,葉式特工,https://www.facebook.com/YESRANGER,,,,
生活搞笑類,"Joeman
https://www.youtube.com/c/JoemanStarCraft",219萬,Joeman、九妹,"https://www.facebook.com/JoemanStation
https://www.instagram.com/joemanweng/",✓,,,
生活搞笑類,"木曜4超玩
https://www.youtube.com/channel/UCLW_SzI9txZvtOFTPDswxqg",218萬,木曜4超玩,https://www.facebook.com/Muyao4/,✓,,,
生活搞笑類,"眾量級CROWD
https://www.youtube.com/channel/UC3LBFXbWtEBdOOUb8-qJm9Q",209萬,眾量級CROWD、重量級、眾量級CROWDxFUN生活,https://www.facebook.com/etman0909,✓,,,
生活搞笑類,"黃氏兄弟
https://www.youtube.com/channel/UCV_S2S-Zs8LeuJxK-T3RQQg",185萬,黃氏兄弟,https://www.facebook.com/HuangHuangBrother,✓,,,
生活搞笑類,"WACKYBOYS 反骨男孩
https://www.youtube.com/channel/UCEfetJrzg6OcXWWuX8uhdhw",156萬,WACKYBOYS、反骨男孩、反骨,https://www.facebook.com/Wackyboys.Fans,✓,,,
生活搞笑類,"白癡公主
https://www.youtube.com/user/ATienDai",154萬,戴平雅、A減、痴痴、王美、貧乳界女神,https://www.facebook.com/BaiChiGongZhu,✓,,,
生活搞笑類,"滴妹
https://www.youtube.com/channel/UCGpNjY0Xq2GJLXh4OOX1LOA",142萬,滴妹、都冠伶,https://www.facebook.com/crowndmei,✓,,,
生活搞笑類,"HowFun
https://www.youtube.com/user/jasonjason1124",141萬,HowFun、HowHow、How哥,"https://www.facebook.com/howfunofficial
https://www.instagram.com/howhowhasfriends/",✓,,,
生活搞笑類,"聖結石Saint
https://www.youtube.com/channel/UCIdhd_1spj49unBWx1fjS2A",134萬,聖結石、曾聖傑,https://www.facebook.com/ShenJieShiSaint,✓,,,
生活搞笑類,"Sandy&Mandy
https://www.youtube.com/channel/UChX5JaALoA1o80Cc5zkQz_Q",127萬,Sandy&Mandy、Sandy and Mandy,https://www.facebook.com/sandymandy0731,,,,
生活搞笑類,"放火 Louis
https://www.youtube.com/channel/UCuLKTkYGCXako3wMktwrbkQ",124萬,放火、李育群,https://www.facebook.com/SetfireYC,✓,,,
生活搞笑類,"愛莉莎莎 Alisasa
https://www.youtube.com/channel/UCAKJ0tmI_RMXqTgxL_OMfIg",117萬,愛莉莎莎,"https://www.facebook.com/alisasa11111/
https://www.instagram.com/goodalicia/",✓,,,
生活搞笑類,"NyoNyoTV妞妞TV
https://www.youtube.com/channel/UCWGGwv7agoMmd3BAu4Fv3jQ/",110萬,NyoNyoTV、妞妞,https://www.facebook.com/nyonyotv,,,,
生活搞笑類,"鍾明軒
https://www.youtube.com/channel/UCZVCbj9weVNAWqXS9gnfm5A",106萬,鍾明軒、煎熬弟,https://www.facebook.com/ZhongMingXuan,✓,,,
生活搞笑類,"見習網美小吳
https://www.youtube.com/channel/UCAfcy122TZHqDQMMAwfbvBQ",105萬,見習網美小吳,"https://www.facebook.com/beautywu123/?ref=aymt_homepage_panel
https://www.instagram.com/beauty___wu/?hl=zh-tw",✓,,,
生活搞笑類,"蔡桃貴 蔡阿嘎二伯's Family
https://www.youtube.com/channel/UCtSSBoYwD-yEkhvNdH0Zy3w",96.9萬,蔡桃貴、蔡阿嘎、二伯,無,✓,,,
生活搞笑類,"導演好了沒
https://www.youtube.com/channel/UCqAYPUHgXuzsNlYNIzItfAQ",91.8萬,導演好了沒、Is The Director Ready?,無,,,,
生活搞笑類,"黃大謙
https://www.youtube.com/channel/UCgDQKFV2rMNzTE8Y3rHMVbQ",90.3萬,黃大謙、大謙,https://www.facebook.com/HuangDaChien,✓,,,
生活搞笑類,"波特王 Potter King
https://www.youtube.com/c/%E6%B3%A2%E7%89%B9%E7%8E%8BPotterKing",87.7萬,波特王、Potter King,https://www.facebook.com/PKpotterking/,✓,,,
生活搞笑類,"上班不要看 NSFW
https://www.youtube.com/channel/UCj_z-Zeqk8LfwVxx0MUdL-Q/videos",87.2萬,上班不要看、上班可以看,https://www.facebook.com/nsfwstudio,✓,,,
生活搞笑類,"肌肉山山jiroushanshan
https://www.youtube.com/channel/UCj4GjeEMxwgGRPz98ltdqzA",85.2萬,肌肉山山、jiroushanshan、山山,https://www.facebook.com/jiroushanshan,,,,
生活搞笑類,"一隻阿圓 I am CIRCLE
https://www.youtube.com/c/NANACIAOCIAO",70.4萬,一隻阿圓、阿圓,https://www.instagram.com/nanaciaociao/,✓,,,
生活搞笑類,"反正我很閒
https://www.youtube.com/channel/UCzjNxGvrqfxL9KGkObbzrmg",69.6萬,反正我很閒,https://www.facebook.com/igotallday,,,,
生活搞笑類,"瑀熙 Yuci
https://www.youtube.com/channel/UCjL1yWauBeI6WoQNVLyxwqQ",67.7萬,瑀熙、Yuci、大王瑀康熙,https://www.facebook.com/igotallday,✓,,,
生活搞笑類,"野人七號部落
https://www.youtube.com/channel/UCESIRUtUaGfqWCgljB1EB2A",64萬,野人七號,https://www.instagram.com/kid7fat,,,,
生活搞笑類,"Stand up, Brian! 博恩站起來！
https://www.youtube.com/channel/UCUGlE8lf5qH--_XlsabI2XQ",50.5萬,博恩、鋼鋼,https://www.facebook.com/brianstandup,✓,,,
生活搞笑類,"六指淵 Huber
https://www.youtube.com/channel/UC7ia-A8gma8qcdC6GDcjwsQ",45.7萬,六指淵,https://www.facebook.com/huberworld,,,,
生活搞笑類,"最近紅什麼
https://www.youtube.com/channel/UCmV89JP1Fx5jTAMYjmpJMQg",44.6萬,最近紅什麼,https://www.facebook.com/What.Is.Red.Now/,,,,
生活搞笑類,"大麻煩
https://www.youtube.com/channel/UCaml9jp1QTt9hPCGp0hW6PA",41.5萬,大麻煩,https://www.facebook.com/BIGTROUBLE.YOUTUBE,✓,,,
生活搞笑類,"阿翰po影片
https://www.youtube.com/channel/UCEBaVKCwLP3UOdSq3LNNqmw",37萬,阿翰、阿翰po影片,https://www.facebook.com/hanhanpovideo,✓,,,
生活搞笑類,"龍龍LungLung
https://www.youtube.com/c/%E9%BE%8D%E9%BE%8DLungLungtragiclife",35.8萬,龍龍、LungLung,"https://www.facebook.com/lunglungtragiclife/
https://www.instagram.com/chienyu1006/",✓,,,
生活搞笑類,"孫安佐
https://www.youtube.com/channel/UCuGB6NVDHOtofk6JheaZIEQ",21.2萬,孫安佐、Edward Sun、孫華,https://www.instagram.com/sun_edward_64/,✓,,,
生活搞笑類,"VITO維特
https://www.youtube.com/channel/UCuxSVvnpjk9WLpss8iORmoA",16.6萬,維特、VITO維特,https://www.facebook.com/VITO0413,✓,,,
生活搞笑類,"綠眼鏡Punk
https://www.youtube.com/channel/UCle24f5bmyPtAiOylAI30-A",12.1萬,綠眼鏡Punk、綠眼鏡、徐晢軒,https://www.facebook.com/greenglassespunk,✓,,,
生活搞笑類,"NanaQ
https://www.youtube.com/channel/UCQhuILEAErjrabn6-rJiKig",11.8萬,NanaQ,https://www.facebook.com/nanaq521/,✓,,,
生活搞笑類,"阿神
https://www.youtube.com/c/charlie615119",276萬,阿神、芋圓柚子OEUR.studio,,✓,,,
生活搞笑類,"Joeman
https://www.youtube.com/c/JoemanStarCraft",219萬,Joeman、九妹,"https://www.facebook.com/JoemanStation
https://www.instagram.com/joemanweng/",✓,,,
生活搞笑類,"谷阿莫
https://www.youtube.com/c/amogood",198萬,谷阿莫,"https://www.facebook.com/amogoodlife
https://www.instagram.com/imamogood/",✓,,,
生活搞笑類,"滴妹
https://www.youtube.com/channel/UCGpNjY0Xq2GJLXh4OOX1LOA",142萬,滴妹、都冠伶,https://www.facebook.com/crowndmei,✓,,,
生活搞笑類,"HowFun
https://www.youtube.com/user/jasonjason1124",141萬,HowFun、HowHow、How哥,"https://www.facebook.com/howfunofficial
https://www.instagram.com/howhowhasfriends/",✓,,,
生活搞笑類,"愛莉莎莎 Alisasa
https://www.youtube.com/channel/UCAKJ0tmI_RMXqTgxL_OMfIg",117萬,愛莉莎莎,"https://www.facebook.com/alisasa11111/
https://www.instagram.com/goodalicia/",✓,,,
生活搞笑類,見習網美小吳,105萬,見習網美小吳,"https://www.facebook.com/beautywu123/?ref=aymt_homepage_panel
https://www.instagram.com/beauty___wu/?hl=zh-tw",✓,,,
生活搞笑類,"米砂Misa
https://www.youtube.com/user/misa7260",90.5萬,米砂、Misa、老濕姬、江佳儒,https://www.facebook.com/misapage2,✓,,,
生活搞笑類,"波特王 Potter King
https://www.youtube.com/c/%E6%B3%A2%E7%89%B9%E7%8E%8BPotterKing",87.7萬,波特王、Potter King,https://www.facebook.com/PKpotterking/,✓,,,
生活搞笑類,"展榮展瑞 K.R Bros
https://www.youtube.com/channel/UCeB5UXWltaHtGoxkwGXLzpg/featured",79.6萬,展榮、展瑞,"https://www.facebook.com/KeelongRays/
https://www.instagram.com/keelongxu/?hl=zh-tw
https://www.instagram.com/monday_rays/?hl=zh-tw",,,,
生活搞笑類,"丁特dinter
https://www.youtube.com/c/Dinterlolz",75.7萬,丁特、dinter、薛弘偉,"https://www.facebook.com/DinTerlol/
https://www.instagram.com/dinter_1126/",✓,,,
生活搞笑類,"一隻阿圓 I am CIRCLE
https://www.youtube.com/c/NANACIAOCIAO",70.4萬,一隻阿圓、阿圓,https://www.instagram.com/nanaciaociao/,✓,,,
生活搞笑類,"Toyz
https://www.youtube.com/c/Toyz69",68.9萬,Toyz,https://www.facebook.com/Toyzlau/,✓,,,
生活搞笑類,"呱吉
https://www.youtube.com/user/FroggyChiu",60.4萬,呱吉,"https://www.facebook.com/froggychiu/
https://www.instagram.com/froggychiu/?hl=zh-tw",✓,,,
生活搞笑類,"尼克&ASHLY
https://www.youtube.com/c/ASHLYNICK258",56萬,尼克、Ashly,"https://www.facebook.com/NickXianSheng
https://www.instagram.com/nickwang1988/",✓,,,
生活搞笑類,"龍龍LungLung
https://www.youtube.com/c/%E9%BE%8D%E9%BE%8DLungLungtragiclife",35.8萬,龍龍、LungLung,"https://www.facebook.com/lunglungtragiclife/
https://www.instagram.com/chienyu1006/",✓,,,
生活搞笑類,"許藍方博士 Dr. Gracie
https://www.youtube.com/channel/UCsc1dZtJfAsWegx-Ri7BElw",28.7萬,許藍方博士、Dr. Gracie、許藍方,"https://www.facebook.com/drgracieofficial
https://www.instagram.com/drgraciehsu/",✓,,,
生活搞笑類,"阿部瑪利亞 Maria Abe
https://www.youtube.com/channel/UC2tRcusVoXSGqUcSu1GO4Ng",23.5萬,阿部、阿部瑪利亞、Maria Abe,"https://www.facebook.com/CamerabayAbe
https://www.instagram.com/_abedesu/?fbclid=IwAR2OaEdMj7d3GG04lgFXD0jOruDH-ZjGyuDYLRtSZMO3_jo4qUETDkDrNUM",,,,
生活搞笑類,"Alina鄭茵聲
https://www.youtube.com/c/Alina%E9%84%AD%E8%8C%B5%E8%81%B2",22.8萬,茵聲、鄭茵聲,"https://www.facebook.com/AlinaZheng
https://www.instagram.com/ferrtsss/",,,,
生活搞笑類,"孫安佐
https://www.youtube.com/channel/UCuGB6NVDHOtofk6JheaZIEQ",21.2萬,孫安佐、Edward Sun、孫華,https://www.instagram.com/sun_edward_64/,✓,,,
生活搞笑類,"泱泱LYNN
https://www.youtube.com/channel/UCiewBSUlxrhoyn6oTNt0ilw",20.3萬,泱泱Lynn、泱泱,"https://www.facebook.com/yanglynnwu
https://www.instagram.com/lynnwu0219/",,,,
生活搞笑類,"VITO維特
https://www.youtube.com/channel/UCuxSVvnpjk9WLpss8iORmoA",16.6萬,維特、VITO維特,https://www.facebook.com/VITO0413,✓,,,
生活搞笑類,"WINNI溫妮
https://www.youtube.com/c/WINNI%E6%BA%AB%E5%A6%AE",15.2萬,溫妮、溫妮Winni,"https://www.facebook.com/SMALLWINNI
https://www.instagram.com/yuen_nnnnnn/",,,,
生活搞笑類,"NanaQ
https://www.youtube.com/channel/UCQhuILEAErjrabn6-rJiKig",11.8萬,NanaQ,https://www.facebook.com/nanaq521/,✓,,,
生活搞笑類,"統神大戲院
https://www.youtube.com/c/%E7%B5%B1%E7%A5%9E%E5%A4%A7%E6%88%B2%E9%99%A2",10.6萬,統神、張嘉航,https://www.facebook.com/godtone3be0,✓,,,
,,,,,,,,
,,,,,,,,
料理美食類,"千千進食中
https://www.youtube.com/channel/UC9i2Qgd5lizhVgJrdnxunKw",169萬,千千進食中、千千、Chien-Chien,"https://www.facebook.com/Chienseating/
https://www.instagram.com/khshu_/",,,,
料理美食類,"MASAの料理ABC
https://www.youtube.com/c/masaabc1",147萬,MASAの料理ABC、MASA,"https://www.facebook.com/masa.abc
https://www.instagram.com/masa_cookingram/",,,,
料理美食類,"蘿潔塔的廚房
https://www.youtube.com/channel/UCcb9uxCoIgw7RQjQnlgd0Xw",126萬,蘿潔塔的廚房,"https://rosalinakitchen.pixnet.net/blog
https://www.facebook.com/rosalinakitchen/",,,,
料理美食類,"大蛇丸
https://www.youtube.com/channel/UCQd3V4gv_lcLX9SpIVW3wmw",92.8萬,大蛇丸,"https://www.facebook.com/people/%E5%A4%A7%E8%9B%87%E4%B8%B8/100044464928251/
https://www.instagram.com/jam_cutepig/?hl=zh-tw",✓,,,
料理美食類,"古娃娃WawaKu
https://www.youtube.com/channel/UCVw4CvsOUuVJpFyW_VPnIBQ",92.7萬,古娃娃、wawawaku,"https://www.facebook.com/wawawaku/
https://www.instagram.com/wawawaku/?hl=zh-tw",✓,,,
料理美食類,"詹姆士姆士流官方專屬頻道
https://www.youtube.com/channel/UC4_Ds33FmwzcTDL3G2pbs7g",80.9萬,詹姆士,"https://www.facebook.com/JamesEasyCooking
https://www.instagram.com/chef_jamestw/?hl=zh-tw",,,,
料理美食類,"台灣大胃王丁丁/Ding-Ding
https://www.youtube.com/channel/UCJjUwoNYMdRCZbDy_UqxVrw/featured",80.6萬,台灣大胃王丁丁、Ding-Ding,"https://www.facebook.com/Ding.Ding.Bigeater/
https://www.instagram.com/dingding_eating/",,,,
料理美食類,"Dream Chef Home 夢幻廚房在我家
https://www.youtube.com/c/DreamChefHome%E5%A4%A2%E5%B9%BB%E5%BB%9A%E6%88%BF%E5%9C%A8%E6%88%91%E5%AE%B6/featured",73.3萬,Dream Chef Home、夢幻廚房在我家,"https://www.facebook.com/pig61106?ref=hl
https://www.instagram.com/dreamchefhome/",,,,
料理美食類,"路路 LULU
https://www.youtube.com/channel/UCRG28JCnJwuZH06ETKTTZdA",71.5萬,路路、LULU,"https://www.facebook.com/MissLulu0715
https://www.instagram.com/yuzi_lu/",,,,
料理美食類,"RICO
https://www.youtube.com/channel/UCHV8lZJsXdW8lOFr2z8WPcg",56.3萬,RICO,"https://www.facebook.com/ricoruey/
https://www.instagram.com/otakuruey/?hl=zh-tw",,,,
料理美食類,"糖餃子Sweet Dumpling
https://www.youtube.com/c/SweetDumpling/featured",47萬,糖餃子、Sweet Dumpling,"https://www.facebook.com/sweet.dumpling.studio
https://www.instagram.com/sweetdumplingofficial/
https://space.bilibili.com/2118812273",,,,
料理美食類,"菜單研究所
https://www.youtube.com/channel/UC6Xyouv1a-YUqOTV_roccfg",38.3萬,菜單研究所,"https://www.facebook.com/menustudy/
https://www.instagram.com/menukevin/",,,,
料理美食類,"克里斯餐桌
https://www.youtube.com/c/%E5%85%8B%E9%87%8C%E6%96%AF%E9%A4%90%E6%A1%8C",37.2萬,克里斯餐桌,"https://www.facebook.com/christable1613/
https://www.instagram.com/chris_table1613/",,,,
料理美食類,"黃聖凱
https://www.youtube.com/channel/UC52GIWmRR2t3YqtGrKJeZkQ",35.1萬,黃聖凱、錵鑶居家料理小教室,"https://www.facebook.com/hanahomefood/?ref=ts&fref=ts
https://www.instagram.com/hanaseafood1/",,,,
料理美食類,"明聰
https://www.youtube.com/user/aa22895509/featured",35.1萬,明聰,"https://www.facebook.com/LeoHe0810/?ref=bookmarks
https://www.instagram.com/night790810/",,,,
料理美食類,"吃貨豪豪 HowHowEat
https://www.youtube.com/user/Fraappuccino/featured",33.6萬,吃貨豪豪、HowHowEat,https://www.instagram.com/martinispig/,,,,
料理美食類,"巧兒灶咖 Ciao! Kitchen
https://www.youtube.com/c/CiaoKitchen/featured",27萬,巧兒灶咖、Ciao! Kitchen,"https://www.facebook.com/myCiaoKitchen/
https://www.instagram.com/ciao_kitchen/
https://space.bilibili.com/556880930",,,,
料理美食類,"厭世甜點店
https://www.youtube.com/c/%E5%8E%AD%E4%B8%96%E7%94%9C%E9%BB%9E%E5%BA%97",26.6萬,厭世甜點店、拿拿摳,"https://www.facebook.com/energydessert
https://www.instagram.com/energydessert2019/",,,,
料理美食類,"Brian Cuisine Inc
https://www.youtube.com/c/BrianCuisine/featured",23.8萬,Brian Cuisine Inc、不萊嗯的烘焙廚房,"https://www.facebook.com/BrianCuisine
https://www.instagram.com/briancuisine/",,,,
料理美食類,"找蔬食Traveggo
https://www.youtube.com/c/%E6%89%BE%E8%94%AC%E9%A3%9FTraveggo/featured",20.5萬,找蔬食、Traveggo,"https://www.facebook.com/traveggo/
https://www.instagram.com/traveggo/",,,,
料理美食類,"簡單哥
https://www.youtube.com/c/%E7%B0%A1%E5%96%AE%E5%93%A5",20.4萬,簡單哥,"https://www.facebook.com/Easybrofood/
https://www.instagram.com/easybrofood/",,,,
料理美食類,"索艾克
https://www.youtube.com/channel/UCgqhmEJ-t_U5ca4f9IxQZdg",13.7萬,索艾克,"https://www.facebook.com/soacliu/ 
https://www.instagram.com/soacliu/?hl=zh-tw",,,,
料理美食類,"特盛吃貨艾嘉Abby Big Eater
https://www.youtube.com/c/%E7%89%B9%E7%9B%9B%E5%90%83%E8%B2%A8%E8%89%BE%E5%98%89AbbyBigEater",10.7萬,特盛吃貨艾嘉、Abby Big Eater,"https://www.facebook.com/AbbyBigEater/?ref=bookmarks
https://www.instagram.com/alex751015/",,,,
料理美食類,"小田太太の玩樂廚房
https://www.youtube.com/c/%E5%B0%8F%E7%94%B0%E5%A4%AA%E5%A4%AA%E3%81%AE%E7%8E%A9%E6%A8%82%E5%BB%9A%E6%88%BFmrstienkitchen/featured",10.6萬,小田太太の玩樂廚房、小田太太,"https://www.facebook.com/mrstienkitchen/
https://www.instagram.com/mrstienkitchen/",,,,
寵物貓狗類,"黃阿瑪的後宮生活
https://www.youtube.com/channel/UCw2W7GIqJNB-UMUxncnMuiw",155萬,黃阿瑪、黃阿瑪的後宮生活、志銘與狸貓 ,"https://www.facebook.com/fumeancats
https://www.instagram.com/fumeancat/",,,,https://www.youtube.com/channel/UCGbpr46Y8aDyO2s_W_3SfkA
寵物貓狗類,"豆漿- SoybeanMilk
https://www.youtube.com/channel/UCiXuTOccGliVKpcL1qQWMPg",69.8萬,豆漿-SoybeanMilk、漿爸,"https://www.facebook.com/SoybeanMilkCat/
https://www.instagram.com/soybeanmilk_cat/?hl=zh-tw",,,,
寵物貓狗類,"好味小姐 Lady Flavor
https://www.youtube.com/channel/UCOz7W0VH--2WlqAE_3jtL4w",60.7萬,好味小姐、Lady Flavor,https://www.facebook.com/ladyflavor.tw/,,,,
寵物貓狗類,"希露弟弟啃雞腿
https://www.youtube.com/channel/UC32azU7iLL7dqPcXIcaPHow/featured",26.8萬,希露弟弟啃雞腿,"https://www.facebook.com/bichonpoodlegetwie/
https://www.instagram.com/getwie__/",,,,
