youtuber,date,A_error_type,A_thanks,A_compensation,A_apology,A_information,A_reverse,A_excuse,B_error_type,B_thanks,B_compensation,B_apology,B_information,B_reverse,B_excuse
鼻地大師國動-張葦航,2020/6/23,a,0,0,0,0,0,1,a,0,0,0,0,0,1
Dinter,2021/10/9,b,0,0,1,1,0,0,b,0,0,1,1,0,0
Jinnytty 企鵝妹 윰찌,2020/6/4,a,0,0,1,0,0,0,a,0,0,1,1,0,0
大麻煩,2021/6/1,b,1,0,1,1,0,0,b,1,0,1,1,0,0
見習網美小吳,2020/12/24,b,0,1,1,0,0,0,b,1,1,1,1,0,0
見習網美小吳,2021/9/13,b,1,0,1,1,0,0,b,1,0,0,0,0,0
許藍方博士 Dr. Gracie,2021/8/20,b,1,0,1,0,0,0,b,1,0,1,0,0,0
尼克&ASHLY,2020/6/1,b,1,0,1,1,0,0,b,1,0,1,1,0,0
Pan Piano,2021/12/23,d,1,0,1,1,0,0,d,1,0,1,1,0,0
奎丁Zamy,2019/12/23,c,1,1,1,1,0,0,c,1,0,1,1,0,0
孫生又來了,2020/11/10,b,0,0,0,0,0,0,c,0,0,0,0,0,0
孫生又來了,2021/2/5,b,0,0,0,0,0,0,b,0,0,0,0,0,0
本本,2019/11/12,b,0,1,1,1,0,0,b,0,1,1,1,0,0
牛排生活 Steak's Life,2020/8/15,c,1,0,1,1,0,0,c,1,0,1,1,0,0
眼球中央電視台,2021/5/25,c,0,0,0,1,0,0,c,0,0,0,0,0,0
酷炫老師,2021/10/13,c,0,0,1,1,0,0,c,0,0,1,0,0,1
酷炫老師,2021/3/30,b,1,0,1,0,0,0,b,1,0,1,1,0,0
酷炫老師,2021/1/21,b,0,0,1,1,0,0,b,0,0,1,1,0,0
酷炫老師,2021/8/2,a,0,0,1,0,0,0,a,0,0,1,0,0,0
